unit_id,activy_area,unit_name,classification,combat_level,demand,search_type,force,number_of_soldiers,commander_id,base_id
203000,Jordan,Feedspan,1,2,8,cognitive test,Navy,19200,15001,223
203001,Depth,Dazzlesphere,3,3,1,interview,Education,28700,15002,76
203002,Gaza,Topiczoom,2,5,4,knowledge test,C4I,29500,15003,361
203003,Depth,Flashspan,4,1,10,technical test,Intelligence,28900,15004,31
203004,West Bank,Thoughtbridge,5,5,6,technical test,Technology and Maintenance,1000,15005,242
203005,Jordan,Zoonder,3,1,7,combat fitness,Logistics,19400,15006,142
203006,Syria,Jaloo,1,4,2,combat fitness,Military Police,22500,15007,370
203007,Gaza,Yakijo,4,4,5,knowledge test,Air,24600,15008,372
203008,Lebanon,Minyx,1,4,9,combat fitness,Logistics,11100,15009,178
203009,Lebanon,Voomm,4,5,6,combat fitness,Artillery,22900,15010,183
203010,Iran,Twitterbeat,4,5,6,technical test,Air,27500,15011,273
203011,Syria,Jabbertype,5,3,3,interview,Infantry,14700,15012,345
203012,Jordan,Photofeed,1,2,5,combat fitness,Navy,4800,15013,332
203013,Iran,Mydeo,3,3,8,knowledge test,Artillery,16600,15014,68
203014,Jordan,Centizu,2,4,10,interview,Infantry,18600,15015,401
203015,Egypt,Quamba,5,4,3,combat fitness,Medical,12400,15016,342
203016,Depth,Tavu,4,1,9,combat fitness,Technology and Maintenance,14800,15017,435
203017,Jordan,Oyope,5,4,2,knowledge test,Infantry,2900,15018,469
203018,Jordan,Twitternation,2,2,5,knowledge test,Armored,26300,15019,430
203019,Egypt,Fiveclub,4,5,2,cognitive test,Logistics,7200,15020,491
203020,West Bank,Linkbuzz,1,1,7,cognitive test,Armored,26900,15021,341
203021,Syria,Yozio,4,1,9,knowledge test,C4I,22600,15022,314
203022,Iran,Meembee,2,2,9,cognitive test,Military Police,27200,15023,27
203023,Lebanon,Feedmix,5,2,6,combat fitness,Navy,7700,15024,49
203024,Lebanon,Yabox,1,3,5,interview,Air,28200,15025,379
203025,Iran,Gigabox,1,4,8,cognitive test,Intelligence,22000,15026,333
203026,Gaza,Blogpad,1,1,7,interview,Intelligence,1000,15027,12
203027,Jordan,Zoomzone,4,1,6,cognitive test,Medical,11900,15028,433
203028,Depth,Skipstorm,5,5,2,technical test,Infantry,4200,15029,480
203029,Iran,Flashpoint,3,3,7,combat fitness,Technology and Maintenance,2300,15030,377
203030,Jordan,Meevee,1,3,7,cognitive test,Navy,28100,15031,248
203031,Egypt,Wikizz,4,1,5,knowledge test,Infantry,25100,15032,9
203032,Syria,Skyndu,1,3,7,knowledge test,Education,17800,15033,58
203033,West Bank,Einti,1,1,10,knowledge test,Medical,17500,15034,282
203034,Iran,Oyope,4,2,10,knowledge test,C4I,22900,15035,219
203035,Depth,Agivu,1,4,3,knowledge test,Artillery,20800,15036,295
203036,Iran,Yamia,5,2,3,knowledge test,Artillery,3100,15037,181
203037,Lebanon,Skipfire,2,4,4,technical test,Infantry,22600,15038,420
203038,West Bank,Eamia,1,3,9,combat fitness,Medical,28100,15039,284
203039,Egypt,Meezzy,5,3,3,cognitive test,Navy,15300,15040,410
203040,Jordan,Blogpad,3,1,2,interview,Infantry,2300,15041,425
203041,Depth,Fivebridge,5,2,8,technical test,Navy,4900,15042,355
203042,Syria,Yakidoo,3,5,6,knowledge test,Education,4800,15043,21
203043,Lebanon,Babbleset,5,3,8,cognitive test,Intelligence,24100,15044,72
203044,Depth,Zoonder,1,3,4,combat fitness,Military Police,16000,15045,52
203045,West Bank,Oloo,2,4,1,combat fitness,Armored,10600,15046,302
203046,Egypt,Jabberstorm,4,4,3,interview,Technology and Maintenance,28700,15047,54
203047,Egypt,Devpoint,4,5,1,technical test,Air,9900,15048,245
203048,West Bank,Feedspan,3,4,3,interview,Artillery,26100,15049,342
203049,Depth,Linktype,2,3,8,technical test,Education,18700,15050,392
203050,Egypt,Edgeclub,1,5,2,cognitive test,Technology and Maintenance,22600,15051,116
203051,Jordan,Demivee,1,4,7,interview,Logistics,4100,15052,49
203052,West Bank,Jetpulse,2,3,5,knowledge test,Military Police,11500,15053,474
203053,Gaza,Thoughtworks,2,2,4,technical test,Logistics,8000,15054,223
203054,Syria,Bluezoom,2,2,8,combat fitness,Medical,1300,15055,475
203055,Iran,Tavu,1,1,6,knowledge test,Armored,25000,15056,161
203056,Iran,Jayo,5,2,4,combat fitness,Air,1500,15057,357
203057,Syria,Oyondu,5,3,8,technical test,Armored,23300,15058,208
203058,Depth,Avavee,1,5,4,technical test,Artillery,8200,15059,364
203059,Jordan,Vinder,3,2,10,interview,Logistics,25000,15060,474
203060,Egypt,Dabshots,4,2,3,interview,Air,5500,15061,413
203061,Jordan,Meevee,1,4,10,combat fitness,C4I,3100,15062,436
203062,Syria,Skipstorm,5,3,1,interview,Artillery,11500,15063,236
203063,Iran,Thoughtblab,3,1,8,interview,Navy,27000,15064,206
203064,West Bank,Bubblebox,2,2,8,combat fitness,Infantry,5000,15065,191
203065,Gaza,Linkbridge,1,5,8,interview,Navy,19200,15066,319
203066,West Bank,Gevee,4,5,5,technical test,Military Police,17600,15067,338
203067,Depth,Divape,2,5,5,knowledge test,Technology and Maintenance,7700,15068,353
203068,Jordan,Photobug,4,2,6,technical test,Military Police,27800,15069,9
203069,Iran,Browsebug,2,2,1,cognitive test,Logistics,18600,15070,163
203070,West Bank,Zava,3,1,10,technical test,Intelligence,25900,15071,449
203071,Egypt,Realbuzz,4,3,8,cognitive test,Logistics,4800,15072,333
203072,Iran,Reallinks,3,5,4,cognitive test,Logistics,16100,15073,267
203073,Jordan,Photobug,3,4,3,knowledge test,Medical,19500,15074,488
203074,Jordan,Skalith,3,4,7,interview,Artillery,12700,15075,411
203075,West Bank,Katz,3,5,6,combat fitness,Armored,16300,15076,292
203076,Egypt,Npath,1,2,5,knowledge test,Air,3100,15077,400
203077,Depth,Devpoint,2,3,8,combat fitness,Armored,2800,15078,32
