unit_id,activy_area,unit_name,classification,combat_level,demand,search_type,force,number_of_soldiers,commander_id,base_id
118889,Jordan,Meevee,4,3,7,technical test,Intelligence,19400,12001,324
118890,Lebanon,Gabvine,4,1,5,cognitive test,Navy,9400,12002,106
118891,Syria,Livetube,4,5,8,technical test,Infantry,16200,12003,468
118892,Egypt,Flashset,1,1,2,interview,Medical,13400,12004,208
118893,Iran,Browsetype,1,4,6,knowledge test,Artillery,12400,12005,264
118894,Jordan,JumpXS,4,5,10,knowledge test,Air,30000,12006,448
118895,Lebanon,Skipstorm,2,5,5,interview,Artillery,1100,12007,419
118896,Syria,Oba,4,4,2,cognitive test,Military Police,28200,12008,145
118897,Syria,Blogpad,1,3,4,technical test,Logistics,17800,12009,304
118898,West Bank,Demivee,4,2,10,combat fitness,Infantry,16800,12010,344
118899,Lebanon,Aimbu,2,1,10,interview,Armored,14400,12011,209
118900,Syria,Myworks,4,4,2,technical test,Air,5100,12012,122
118901,Syria,Meembee,3,2,10,knowledge test,Technology and Maintenance,1500,12013,162
118902,West Bank,Zoomlounge,1,4,4,technical test,Technology and Maintenance,17800,12014,437
118903,Syria,Realcube,3,3,5,knowledge test,Artillery,2900,12015,370
118904,Syria,Fivebridge,5,2,4,technical test,Armored,400,12016,416
118905,Egypt,Topdrive,2,5,8,combat fitness,Education,16600,12017,249
118906,Gaza,Edgepulse,5,1,7,cognitive test,Infantry,28100,12018,99
118907,Egypt,Devbug,3,2,7,knowledge test,C4I,9100,12019,454
118908,Lebanon,Zoomdog,1,2,9,technical test,Intelligence,11200,12020,361
118909,Depth,Cogibox,3,4,1,knowledge test,Military Police,9900,12021,234
118910,West Bank,Trudoo,4,4,1,combat fitness,Intelligence,27000,12022,124
118911,Gaza,Yodel,3,2,5,interview,Technology and Maintenance,2500,12023,211
118912,West Bank,Flashset,4,5,2,cognitive test,Intelligence,7200,12024,118
118913,West Bank,Divape,4,2,6,technical test,Intelligence,20900,12025,246
118914,Jordan,Topicshots,5,3,7,cognitive test,Infantry,2800,12026,13
118915,Depth,Skinix,5,5,7,knowledge test,C4I,9400,12027,333
118916,Jordan,Roombo,2,2,4,interview,Armored,6100,12028,185
118917,Jordan,Zooveo,1,3,4,technical test,Technology and Maintenance,5300,12029,376
118918,West Bank,Chatterpoint,4,5,3,technical test,Intelligence,20500,12030,184
118919,Egypt,Jayo,4,3,3,knowledge test,Technology and Maintenance,1500,12031,206
118920,Syria,Meedoo,3,1,10,technical test,Infantry,16200,12032,244
118921,Lebanon,Photofeed,3,2,10,knowledge test,Infantry,12100,12033,105
118922,Gaza,Feedfish,3,2,5,interview,Artillery,23600,12034,249
118923,Iran,Meedoo,2,4,9,cognitive test,Intelligence,22800,12035,187
118924,Iran,Lazzy,3,1,1,cognitive test,C4I,22300,12036,92
118925,West Bank,Roodel,1,1,5,cognitive test,Medical,19400,12037,447
118926,Egypt,Twitternation,3,1,5,knowledge test,Education,22000,12038,426
118927,Gaza,Katz,5,3,3,interview,C4I,29500,12039,26
118928,West Bank,Teklist,3,2,5,technical test,C4I,8900,12040,237
118929,Lebanon,Linklinks,3,5,8,cognitive test,Air,12700,12041,417
118930,Jordan,Demimbu,4,3,9,technical test,Military Police,2900,12042,229
118931,West Bank,Gigabox,1,5,5,cognitive test,Air,6100,12043,476
118932,Syria,Yamia,2,4,8,knowledge test,Technology and Maintenance,3900,12044,265
118933,West Bank,Yambee,5,4,10,technical test,Infantry,3700,12045,451
118934,Lebanon,Gigashots,2,2,4,interview,Logistics,23900,12046,485
118935,Gaza,Roodel,2,5,4,combat fitness,Air,2800,12047,495
118936,Iran,Twitterlist,5,5,3,combat fitness,Armored,14900,12048,177
118937,Egypt,Photojam,4,1,5,knowledge test,Infantry,3100,12049,342
118938,Depth,Skinix,3,5,2,combat fitness,Air,21200,12050,71
118939,Egypt,Brainbox,5,2,9,technical test,Armored,7400,12051,450
118940,Gaza,Ozu,5,1,8,interview,Medical,6400,12052,317
118941,Iran,Edgeblab,4,1,7,cognitive test,Artillery,25300,12053,172
118942,West Bank,Rhynoodle,5,2,2,technical test,Military Police,25600,12054,183
118943,West Bank,Edgewire,5,1,2,technical test,Armored,7500,12055,236
118944,West Bank,Demivee,3,4,8,interview,Intelligence,5000,12056,306
118945,Iran,Oyoyo,1,5,2,technical test,Medical,7400,12057,12
118946,Jordan,Meemm,5,1,9,cognitive test,Technology and Maintenance,25300,12058,269
118947,Egypt,Dynava,3,1,6,knowledge test,Intelligence,24800,12059,462
118948,Lebanon,Buzzbean,5,4,7,cognitive test,C4I,16400,12060,431
118949,Egypt,Kamba,4,5,6,technical test,Artillery,11600,12061,121
118950,Egypt,Gigazoom,5,5,8,cognitive test,Infantry,10300,12062,221
118951,Syria,Flipopia,2,1,4,technical test,Logistics,14300,12063,250
118952,Iran,Jabbersphere,4,2,4,combat fitness,Technology and Maintenance,29900,12064,73
118953,Egypt,Skyndu,5,1,9,combat fitness,Navy,2200,12065,254
118954,West Bank,Meezzy,2,1,1,technical test,C4I,13300,12066,14
118955,West Bank,Oyoba,1,1,4,knowledge test,Navy,9400,12067,339
118956,Gaza,Dynazzy,5,5,8,technical test,Education,26500,12068,441
118957,Gaza,Mybuzz,2,4,7,cognitive test,Logistics,29900,12069,73
118958,Egypt,Feednation,3,2,6,cognitive test,Air,18500,12070,131
118959,Syria,Tekfly,4,3,8,cognitive test,Air,600,12071,409
118960,Jordan,Fivechat,1,3,8,technical test,Intelligence,1100,12072,326
118961,Jordan,Photolist,2,3,8,cognitive test,Military Police,16200,12073,456
118962,Jordan,Eazzy,5,3,4,technical test,Logistics,12000,12074,177
118963,Lebanon,Trudoo,5,2,5,knowledge test,C4I,20700,12075,325
118964,Syria,Devpulse,3,3,6,knowledge test,Navy,6200,12076,304
