unit_id,activy_area,unit_name,classification,combat_level,demand,search_type,force,number_of_soldiers,commander_id,base_id
99112,West Bank,Snaptags,4,1,3,technical test,Air,7700,7001,85
99113,Iran,Avamm,4,4,5,cognitive test,Logistics,600,7002,171
99114,West Bank,Trupe,3,5,5,technical test,Military Police,15800,7003,449
99115,Iran,Flashset,3,1,3,technical test,Armored,26700,7004,58
99116,Gaza,Layo,3,4,7,knowledge test,Artillery,28200,7005,329
99117,Iran,Devbug,2,2,2,cognitive test,Artillery,7400,7006,207
99118,Depth,Riffpedia,3,2,8,cognitive test,Artillery,29800,7007,94
99119,Depth,Ntags,5,3,10,knowledge test,Military Police,6100,7008,84
99120,Iran,Miboo,4,3,3,knowledge test,Technology and Maintenance,27200,7009,239
99121,Jordan,Skalith,4,4,1,interview,Logistics,23100,7010,303
99122,Gaza,Aimbu,1,2,4,technical test,Armored,14200,7011,230
99123,Lebanon,Skaboo,4,3,8,cognitive test,Artillery,10800,7012,354
99124,Depth,Feedmix,4,5,2,combat fitness,Artillery,8500,7013,495
99125,Jordan,Tanoodle,4,5,7,interview,Armored,28800,7014,364
99126,Syria,Dynabox,3,2,8,combat fitness,C4I,20100,7015,216
99127,Egypt,Zooxo,4,2,5,interview,Education,7900,7016,489
99128,West Bank,Browseblab,4,1,9,combat fitness,Medical,16700,7017,102
99129,Syria,Myworks,1,1,5,combat fitness,Infantry,11200,7018,484
99130,Jordan,Muxo,5,4,7,knowledge test,Armored,16500,7019,463
99131,Lebanon,Riffpedia,4,5,5,combat fitness,Medical,7300,7020,196
99132,Egypt,Roombo,4,3,7,cognitive test,Technology and Maintenance,6100,7021,233
99133,Depth,LiveZ,1,4,3,knowledge test,Military Police,24200,7022,19
99134,West Bank,Blogtags,2,4,8,cognitive test,Technology and Maintenance,23800,7023,253
99135,Iran,Jaxspan,4,5,7,interview,Education,24300,7024,42
99136,Syria,Buzzshare,2,2,8,cognitive test,Medical,3200,7025,453
99137,Syria,Kazio,3,4,10,knowledge test,Education,7600,7026,362
99138,West Bank,Jamia,5,2,7,interview,Navy,3400,7027,237
99139,Egypt,Photofeed,4,1,1,combat fitness,Armored,7400,7028,258
99140,West Bank,Lajo,3,5,6,interview,Intelligence,29500,7029,28
99141,West Bank,Mymm,5,5,5,technical test,C4I,6700,7030,271
99142,Iran,Riffpedia,3,4,2,cognitive test,Education,2300,7031,102
99143,Syria,Skyndu,2,3,3,cognitive test,Education,23200,7032,73
99144,Egypt,Avavee,5,5,3,combat fitness,Logistics,13200,7033,454
99145,Jordan,Linkbridge,1,5,2,technical test,Navy,16100,7034,54
99146,West Bank,Youbridge,2,2,9,combat fitness,Artillery,16200,7035,49
99147,West Bank,Quinu,2,1,6,cognitive test,Armored,6600,7036,295
99148,Egypt,Yata,1,5,3,combat fitness,Technology and Maintenance,7100,7037,380
99149,Egypt,Thoughtblab,2,1,6,interview,Military Police,28800,7038,148
99150,Gaza,Jaxspan,3,5,8,knowledge test,Artillery,29800,7039,75
99151,Egypt,Meetz,4,1,4,technical test,Air,6400,7040,352
99152,Lebanon,Skynoodle,5,4,3,interview,Intelligence,25100,7041,39
99153,Lebanon,Quatz,3,5,7,knowledge test,Armored,3500,7042,376
99154,Iran,Trudeo,4,1,4,technical test,Education,12200,7043,354
99155,Lebanon,Youtags,2,4,8,knowledge test,Medical,12400,7044,230
99156,Jordan,Gabcube,4,1,8,technical test,Medical,8100,7045,17
99157,Depth,Meeveo,2,5,1,knowledge test,Artillery,16100,7046,351
99158,Gaza,Innotype,3,3,1,interview,Air,27500,7047,112
99159,Lebanon,Voonder,5,5,2,combat fitness,C4I,26400,7048,283
99160,Lebanon,Twimbo,4,3,5,combat fitness,Navy,2300,7049,492
99161,Lebanon,Jabberbean,5,3,3,knowledge test,Intelligence,27700,7050,43
99162,Syria,Brainsphere,2,1,9,cognitive test,C4I,7400,7051,449
99163,Jordan,Fatz,2,1,3,knowledge test,Technology and Maintenance,14000,7052,262
99164,Syria,Babbleopia,3,2,1,technical test,Infantry,7200,7053,130
99165,Depth,Yodoo,2,3,4,technical test,Navy,23300,7054,231
99166,West Bank,Riffpath,3,4,9,technical test,Navy,21200,7055,192
99167,Lebanon,Zoonder,3,3,10,combat fitness,Infantry,28600,7056,264
99168,West Bank,Livefish,4,5,4,interview,Logistics,15200,7057,267
99169,Gaza,Devpoint,3,4,8,interview,Military Police,20200,7058,262
99170,Egypt,Wikivu,1,3,6,combat fitness,Military Police,1800,7059,59
99171,Syria,Geba,5,4,4,combat fitness,Intelligence,12500,7060,64
99172,Egypt,Thoughtmix,2,2,7,cognitive test,Artillery,22800,7061,496
99173,Gaza,Kazio,2,5,6,interview,Medical,2900,7062,53
99174,West Bank,Npath,3,2,5,combat fitness,Artillery,12900,7063,342
99175,West Bank,Podcat,1,5,1,combat fitness,Intelligence,11500,7064,203
99176,Lebanon,Trupe,4,4,1,technical test,Artillery,7400,7065,195
99177,West Bank,Dabshots,1,1,1,technical test,Air,29600,7066,45
99178,Depth,Tagopia,1,1,8,combat fitness,Navy,18400,7067,168
99179,Iran,Skibox,1,4,4,knowledge test,Artillery,8100,7068,485
99180,West Bank,Twimm,1,2,10,knowledge test,Medical,800,7069,193
99181,Jordan,Cogibox,2,4,6,technical test,Air,6800,7070,325
99182,Depth,Gigazoom,3,1,3,cognitive test,Air,10600,7071,281
99183,Gaza,Buzzster,1,1,6,interview,Logistics,12000,7072,376
99184,Syria,Dynabox,4,5,10,technical test,Technology and Maintenance,8900,7073,291
99185,Depth,Bubblemix,2,2,9,interview,Medical,8600,7074,247
99186,Jordan,Tambee,3,2,8,combat fitness,Technology and Maintenance,2800,7075,128
99187,Egypt,Edgeblab,2,3,6,cognitive test,C4I,4300,7076,170
99188,Iran,Shufflebeat,3,4,2,cognitive test,Armored,6800,7077,292
99189,Gaza,Devshare,3,5,8,technical test,Infantry,28500,7078,367
99190,Iran,Realbridge,2,2,9,cognitive test,Technology and Maintenance,16000,7079,231
99191,Iran,Photobug,1,4,8,cognitive test,Education,27800,7080,449
99192,West Bank,Oloo,3,4,7,technical test,Medical,11200,7081,327
99193,Syria,Quatz,5,5,7,technical test,Military Police,18400,7082,200
99194,Depth,Avaveo,4,3,4,interview,Technology and Maintenance,10100,7083,223
99195,Depth,Zoomdog,1,5,8,knowledge test,Air,4900,7084,133
99196,Lebanon,Zoomcast,2,5,8,knowledge test,Technology and Maintenance,11800,7085,307
99197,Jordan,Aivee,4,4,6,knowledge test,Armored,6600,7086,160
99198,Lebanon,Mydo,2,3,10,knowledge test,Navy,27700,7087,65
99199,Gaza,Voolith,3,3,4,technical test,Logistics,24900,7088,35
99200,West Bank,Einti,4,4,1,cognitive test,Education,16700,7089,437
99201,Syria,Realbuzz,4,5,4,combat fitness,Infantry,1100,7090,305
99202,Egypt,Eabox,2,4,10,knowledge test,Artillery,6400,7091,249
99203,Gaza,Skidoo,4,1,5,cognitive test,Medical,22500,7092,150
99204,Iran,Flipbug,1,2,6,knowledge test,C4I,2900,7093,107
99205,Egypt,Oyonder,4,3,2,cognitive test,C4I,26900,7094,392
99206,West Bank,Jamia,5,1,8,interview,C4I,26500,7095,241
99207,Gaza,Avamba,5,3,1,knowledge test,Education,16500,7096,126
99208,West Bank,Devcast,1,5,5,interview,Air,25300,7097,321
99209,Syria,Jaxworks,4,5,9,combat fitness,Navy,8400,7098,129
99210,Gaza,Feedbug,1,5,1,cognitive test,Education,16000,7099,27
99211,Lebanon,Oyoba,4,2,4,technical test,Air,27200,7100,388
99212,Syria,Lazz,1,4,8,cognitive test,Navy,2400,7101,284
99213,Iran,Flashpoint,1,2,6,cognitive test,Military Police,27800,7102,367
99214,Lebanon,Tanoodle,4,5,3,knowledge test,Navy,11800,7103,455
99215,Jordan,Skyba,1,2,9,cognitive test,Artillery,26200,7104,190
99216,Syria,Livetube,4,4,3,combat fitness,C4I,24300,7105,372
99217,Gaza,Tazzy,2,1,6,technical test,Intelligence,28000,7106,382
99218,Egypt,Jabbertype,1,4,8,technical test,Medical,27900,7107,393
99219,Depth,Browsecat,2,3,4,combat fitness,Medical,6600,7108,457
99220,Gaza,Meevee,5,5,1,cognitive test,Armored,12400,7109,380
99221,Syria,Gabvine,1,2,8,technical test,Navy,1300,7110,179
99222,Jordan,Voomm,5,4,4,cognitive test,Infantry,4600,7111,369
99223,Syria,Quatz,5,5,10,knowledge test,C4I,28000,7112,455
99224,Jordan,Wikizz,5,3,4,knowledge test,Military Police,20400,7113,321
99225,Jordan,Twitterworks,4,4,1,combat fitness,Navy,8600,7114,231
99226,Egypt,Ainyx,1,2,3,technical test,Intelligence,27300,7115,219
99227,Syria,Bluejam,5,1,7,technical test,C4I,29700,7116,176
99228,Depth,Flipstorm,1,4,6,interview,Logistics,1100,7117,277
99229,Lebanon,Dynazzy,4,1,6,combat fitness,Education,18400,7118,482
99230,Depth,Twimbo,3,2,1,combat fitness,Logistics,1700,7119,250
99231,Depth,Wordify,4,1,1,combat fitness,Artillery,9500,7120,263
99232,Egypt,Skimia,2,2,6,knowledge test,Education,28400,7121,194
99233,Syria,Centizu,5,2,5,technical test,Medical,25800,7122,87
99234,West Bank,Avamba,5,5,2,combat fitness,Logistics,29500,7123,432
99235,Gaza,Realcube,4,3,10,cognitive test,Technology and Maintenance,24900,7124,332
99236,Iran,Viva,5,3,4,knowledge test,Infantry,1800,7125,350
99237,West Bank,Topicware,4,1,3,knowledge test,Medical,8300,7126,133
99238,Jordan,Zazio,3,5,10,cognitive test,Air,24800,7127,183
99239,Syria,Lajo,2,2,8,interview,Education,24400,7128,30
99240,Syria,InnoZ,2,3,5,combat fitness,Air,22300,7129,116
99241,Jordan,Skajo,1,3,3,technical test,Intelligence,16200,7130,260
99242,Egypt,Rhybox,5,2,10,interview,Technology and Maintenance,14700,7131,397
99243,Jordan,Photolist,4,4,9,knowledge test,Military Police,29300,7132,452
99244,West Bank,Voolith,2,2,3,cognitive test,Medical,23400,7133,128
99245,Syria,Jabberstorm,2,2,10,interview,Intelligence,13100,7134,129
99246,Depth,Meembee,2,4,9,cognitive test,Technology and Maintenance,17300,7135,187
99247,Gaza,Dynabox,3,2,3,interview,Education,13200,7136,269
99248,West Bank,Jaloo,2,5,9,technical test,Technology and Maintenance,13400,7137,77
99249,Syria,Gabvine,4,4,8,cognitive test,Intelligence,4900,7138,405
99250,Lebanon,Bluezoom,1,5,5,combat fitness,Armored,24400,7139,347
99251,Depth,Viva,1,3,3,cognitive test,Artillery,9700,7140,156
99252,West Bank,Edgepulse,2,1,7,cognitive test,Military Police,23300,7141,150
99253,Lebanon,Kwideo,1,5,5,combat fitness,Military Police,15200,7142,178
99254,Gaza,Eire,5,5,6,technical test,Education,14000,7143,70
99255,Gaza,Babbleopia,2,2,3,cognitive test,Infantry,22300,7144,443
99256,Depth,Yamia,4,2,10,cognitive test,Education,23800,7145,224
99257,Egypt,Muxo,4,3,5,interview,Intelligence,14600,7146,107
99258,Depth,Abatz,5,4,7,combat fitness,Intelligence,8400,7147,206
99259,Jordan,Yodo,2,1,8,technical test,Artillery,8400,7148,463
99260,West Bank,Vitz,4,5,4,knowledge test,Intelligence,4700,7149,192
99261,Lebanon,Thoughtstorm,3,4,9,interview,Artillery,8400,7150,190
99262,Syria,Mynte,4,2,9,cognitive test,Infantry,13400,7151,379
99263,Egypt,Layo,5,4,10,cognitive test,Artillery,19100,7152,167
99264,Gaza,Ntags,4,4,5,technical test,Air,16800,7153,183
99265,Egypt,Jetpulse,2,4,8,cognitive test,Navy,10000,7154,396
99266,Iran,Bubblebox,5,1,10,interview,Medical,10400,7155,92
99267,Jordan,Browsebug,1,3,1,cognitive test,Artillery,26100,7156,118
99268,Gaza,Devbug,2,4,6,interview,Air,25900,7157,410
99269,Iran,Dabfeed,1,2,6,interview,Medical,13300,7158,398
99270,Syria,Photojam,2,1,1,cognitive test,C4I,5600,7159,136
99271,Jordan,Cogidoo,1,4,6,technical test,Artillery,24100,7160,476
99272,Lebanon,Centimia,5,3,4,combat fitness,C4I,4500,7161,278
99273,Depth,Flipstorm,1,1,8,cognitive test,Medical,9800,7162,31
99274,Egypt,Trupe,1,4,5,technical test,Armored,4800,7163,475
99275,Lebanon,Mycat,4,2,5,interview,Intelligence,21200,7164,7
99276,Egypt,Edgeblab,3,5,7,technical test,Artillery,19200,7165,137
99277,Egypt,Talane,1,5,1,knowledge test,Navy,700,7166,75
99278,West Bank,Voonyx,5,4,1,knowledge test,Infantry,6900,7167,496
99279,Depth,InnoZ,5,4,7,interview,Armored,17700,7168,297
99280,Gaza,Vinder,1,2,6,cognitive test,C4I,6800,7169,386
99281,West Bank,Linktype,5,5,10,interview,Intelligence,17000,7170,482
99282,Gaza,Brainbox,1,4,7,cognitive test,Armored,21400,7171,10
99283,Jordan,Midel,2,3,5,interview,Intelligence,10200,7172,493
