base_id,base_name,location,budget,classification,domain,commander_id
7,aplaydon0,Kopral,8272401,4,big,20001
14,soreilly1,Agusan,7398353,2,small,20002
21,nsutcliff2,Wulingyuan,4752093,4,small,20003
28,palvy3,Kunčice pod Ondřejníkem,4033225,2,middle,20004
35,bcanwell4,As Sayyānī,3350631,5,big,20005
42,hmizen5,Shabo,9929364,5,middle,20006
49,akenchington6,Słupsk,4396881,3,big,20007
56,sadamiak7,Xiaoyue,4863281,1,middle,20008
63,jhilley8,Alcoy,9544872,3,middle,20009
70,scordingly9,Cabcaben,1198004,2,small,20010
77,eswifta,Claveria,3593826,3,big,20011
84,yelvesb,Guishan,2956725,1,big,20012
91,cmckeurtonc,Plakhtiyivka,2333757,3,big,20013
98,fhurringd,Liberta,8881490,1,small,20014
105,cdowtye,Talisayan,2874531,3,small,20015
112,acrudenf,Villach,513589,1,big,20016
119,abasekeg,Kashihara-shi,1670845,3,big,20017
126,pphetteh,Kayakent,4103720,5,middle,20018
133,dshoobridgei,Okotoks,2293563,3,big,20019
140,csandellj,Miguel Hidalgo,9034819,5,big,20020
147,pwrothamk,Aleksotas,5388594,3,small,20021
154,dbeldhaml,Versailles,7243374,5,middle,20022
161,lmitchallm,Nurabelen,6262044,3,small,20023
168,igarmeyn,Ivatsevichy,6892071,1,small,20024
175,tquadrio,Cheremnoye,724757,4,small,20025
182,lancliffp,Pilchowice,8164773,4,middle,20026
189,lrannq,Shabqadar,1946546,2,big,20027
196,lnorewoodr,Masindi,6009410,2,small,20028
203,ckeatss,Karnice,8223890,3,middle,20029
210,mferrarottit,Tmourghout,8250137,5,small,20030
217,stottleu,Tucano,6027918,3,big,20031
224,imucklov,Trzebnica,9064066,3,big,20032
231,sbaisew,Xin’an,2169284,2,small,20033
238,qtellingx,Funafuti,3420455,5,middle,20034
245,sbenardety,Lyon,6978578,1,middle,20035
252,tclemmensenz,Acli,9551334,1,middle,20036
259,pheugle10,Caramuca,5664071,1,middle,20037
266,sshepland11,Xichang,2175220,1,middle,20038
273,cheningham12,Solna,4463241,1,small,20039
280,fdanet13,Belo sur Tsiribihina,5104818,3,small,20040
287,vbanaszczyk14,Gjoa Haven,6232617,3,middle,20041
294,svasilenko15,Milówka,7485604,4,big,20042
301,baumerle16,Baiyashi,5254044,1,big,20043
308,abrugemann17,Imulolong,2292433,5,small,20044
315,rwythill18,Owode,545055,2,middle,20045
322,skordes19,Ganyan,8557363,4,big,20046
329,sgabbett1a,Malitbog,3003676,4,big,20047
336,eaughtie1b,Curahnongko,6351056,5,middle,20048
343,cbraams1c,Vysotsk,209145,3,middle,20049
350,msearson1d,Djibouti,3523377,5,middle,20050
357,tkenright1e,Orlando,2224363,4,middle,20051
364,lcuff1f,Xiaoyangqi,5692422,5,small,20052
371,iedelmann1g,Sritanjung,7826069,3,big,20053
378,cmeadmore1h,Mengenkrajan,5275636,4,small,20054
385,mwestfield1i,Quinta da Queimada,497066,2,big,20055
392,sbullivent1j,Datong,1699643,5,middle,20056
399,ntwine1k,Sabunçu,8677257,2,middle,20057
