unit_id,activy_area,unit_name,classification,combat_level,demand,search_type,force,number_of_soldiers,commander_id,base_id
111112,Iran,Zoonder,1,2,2,knowledge test,C4I,27000,8001,470
111113,West Bank,Eimbee,4,5,4,interview,Technology and Maintenance,7800,8002,154
111114,Depth,Roombo,3,1,1,technical test,Education,22500,8003,398
111115,Syria,Aimbo,1,2,9,cognitive test,Logistics,25800,8004,284
111116,Jordan,Eimbee,4,4,4,cognitive test,Armored,3200,8005,380
111117,West Bank,Photojam,5,2,4,combat fitness,Education,6600,8006,483
111118,Lebanon,Yombu,3,5,7,combat fitness,Intelligence,26000,8007,265
111119,Gaza,Photospace,5,3,9,technical test,Air,15700,8008,318
111120,Gaza,LiveZ,2,2,9,combat fitness,Artillery,23000,8009,418
111121,Lebanon,Photofeed,5,1,5,knowledge test,C4I,22500,8010,205
111122,Egypt,Yacero,1,4,1,combat fitness,Medical,23000,8011,32
111123,Lebanon,Bluejam,5,1,2,combat fitness,Medical,13300,8012,463
111124,Depth,Twitterwire,4,1,1,interview,Military Police,10800,8013,447
111125,West Bank,Dabvine,3,4,5,combat fitness,Logistics,7300,8014,51
111126,Depth,Thoughtstorm,1,2,9,technical test,Artillery,17900,8015,146
111127,Gaza,Yabox,1,2,4,technical test,Navy,22700,8016,363
111128,Egypt,Miboo,3,5,2,knowledge test,Education,4100,8017,268
111129,West Bank,Agimba,3,5,2,technical test,Medical,26800,8018,283
111130,Egypt,Wordware,3,3,1,interview,Navy,15900,8019,419
111131,Iran,Dabshots,3,3,2,knowledge test,Navy,10100,8020,190
111132,Iran,Dabfeed,3,5,5,technical test,Logistics,8600,8021,142
111133,Depth,Jaloo,2,3,6,knowledge test,Artillery,25500,8022,232
111134,Lebanon,Cogilith,4,3,4,technical test,C4I,9300,8023,25
111135,Iran,Rhynoodle,4,1,2,interview,Artillery,29200,8024,249
111136,Lebanon,Twitternation,3,1,4,technical test,Infantry,24400,8025,468
111137,Depth,Buzzshare,4,5,9,combat fitness,C4I,12200,8026,218
111138,Iran,Yadel,2,4,1,technical test,Artillery,17900,8027,313
111139,Gaza,BlogXS,5,5,3,cognitive test,Intelligence,11300,8028,172
111140,Lebanon,Brightbean,4,2,1,combat fitness,Air,18100,8029,103
111141,Depth,Topdrive,3,1,2,technical test,Intelligence,5600,8030,311
111142,Iran,Fivespan,2,5,3,interview,Technology and Maintenance,18100,8031,498
111143,Syria,Browsezoom,4,1,9,combat fitness,Logistics,8500,8032,148
111144,Depth,Oyoloo,1,5,2,interview,Intelligence,18700,8033,230
111145,Syria,Realbridge,2,1,9,interview,Military Police,29100,8034,78
111146,Jordan,Skippad,1,5,8,technical test,Technology and Maintenance,11700,8035,401
111147,Egypt,Mydo,5,3,4,cognitive test,Navy,24600,8036,362
111148,Syria,Camido,3,5,6,combat fitness,Infantry,5600,8037,283
111149,Gaza,Zoozzy,5,1,2,knowledge test,Armored,19600,8038,188
111150,Syria,Skipstorm,1,5,8,cognitive test,Air,16400,8039,94
111151,Depth,Tagchat,2,4,9,technical test,Education,22500,8040,171
111152,Iran,Npath,5,2,1,combat fitness,Military Police,2600,8041,316
111153,Iran,Dablist,4,5,1,cognitive test,Navy,1100,8042,254
111154,Jordan,Ainyx,5,4,4,cognitive test,Infantry,2000,8043,399
111155,West Bank,Quinu,1,5,2,cognitive test,Infantry,12000,8044,261
111156,Egypt,Wikibox,3,4,10,combat fitness,Logistics,11300,8045,353
111157,Iran,Cogibox,5,2,4,interview,Medical,2400,8046,371
111158,Iran,Wikibox,4,2,5,interview,Intelligence,24500,8047,36
111159,Gaza,Trudoo,3,5,5,technical test,Infantry,18700,8048,489
111160,Depth,Feedfire,2,3,3,technical test,Logistics,15700,8049,109
111161,Gaza,Browsezoom,2,4,9,interview,Air,28100,8050,494
111162,Syria,Zoomzone,5,4,10,cognitive test,C4I,22500,8051,214
111163,Egypt,Rooxo,5,4,5,combat fitness,Armored,3400,8052,237
111164,Gaza,Meevee,3,3,7,knowledge test,Education,29400,8053,169
111165,Iran,Dabjam,4,3,1,interview,Military Police,17200,8054,110
111166,Lebanon,Dynava,3,1,3,interview,C4I,24500,8055,4
111167,Jordan,Voolith,3,3,5,knowledge test,Medical,11300,8056,391
111168,Depth,Tazz,4,3,2,combat fitness,Logistics,16400,8057,142
111169,Egypt,Wikivu,3,4,7,interview,Air,5000,8058,76
111170,Jordan,Quinu,5,4,3,combat fitness,Medical,19600,8059,159
111171,Lebanon,Riffpath,4,4,2,combat fitness,Education,10600,8060,379
111172,Depth,Jetwire,2,1,7,knowledge test,Medical,26000,8061,67
111173,Depth,Voomm,4,3,10,technical test,Medical,400,8062,98
111174,Lebanon,Flipstorm,1,3,6,combat fitness,Navy,11900,8063,211
111175,Iran,Divavu,1,4,2,combat fitness,Intelligence,2200,8064,16
111176,West Bank,Gevee,3,3,4,combat fitness,Armored,15600,8065,300
111177,Egypt,Abatz,2,1,2,knowledge test,Artillery,19300,8066,104
111178,Egypt,Wordtune,2,3,7,cognitive test,Air,11100,8067,347
111179,Gaza,Dablist,3,1,6,knowledge test,Artillery,100,8068,267
111180,Jordan,Centizu,5,4,7,combat fitness,Logistics,2600,8069,377
111181,Depth,Thoughtblab,1,1,4,technical test,Technology and Maintenance,15100,8070,13
111182,Egypt,Browsezoom,3,3,4,technical test,Technology and Maintenance,16600,8071,87
111183,Iran,Jayo,5,2,9,technical test,Military Police,13800,8072,490
111184,Iran,Meevee,3,3,3,cognitive test,Technology and Maintenance,21200,8073,373
111185,Gaza,Twinder,4,5,5,combat fitness,Intelligence,10500,8074,418
111186,Jordan,Skiba,3,1,5,technical test,Air,11900,8075,408
111187,Gaza,Jabbersphere,5,3,5,combat fitness,Intelligence,2000,8076,273
111188,Gaza,Rhycero,3,4,4,cognitive test,Air,21500,8077,362
111189,Depth,Janyx,3,4,4,combat fitness,Technology and Maintenance,19000,8078,492
111190,West Bank,Babbleblab,2,4,3,interview,Logistics,2000,8079,451
111191,Egypt,Trunyx,1,3,7,technical test,Technology and Maintenance,26000,8080,412
111192,Syria,Browsedrive,5,5,10,cognitive test,Infantry,18700,8081,37
111193,Iran,Jabbersphere,1,1,2,technical test,Intelligence,3100,8082,141
111194,Syria,Wordware,3,2,9,technical test,C4I,21300,8083,21
111195,West Bank,Trilith,3,1,2,combat fitness,Technology and Maintenance,10800,8084,60
111196,Egypt,Aimbu,4,4,10,technical test,Air,28100,8085,310
111197,Depth,Jatri,1,3,6,cognitive test,C4I,30000,8086,56
111198,Iran,Jaxworks,3,2,6,cognitive test,Navy,3100,8087,60
111199,Jordan,Innojam,3,2,8,interview,Infantry,6600,8088,408
111200,Egypt,Wikibox,4,1,1,knowledge test,Navy,200,8089,378
111201,West Bank,Aivee,3,2,1,knowledge test,Artillery,25700,8090,144
111202,Gaza,Tagfeed,3,3,5,cognitive test,Logistics,28800,8091,118
111203,Lebanon,Wordify,4,3,5,interview,C4I,21600,8092,230
111204,Syria,Realfire,4,4,6,knowledge test,Artillery,2400,8093,63
111205,West Bank,Wordware,5,4,9,cognitive test,Armored,3100,8094,246
111206,Egypt,Kwilith,5,4,2,knowledge test,Education,7600,8095,472
111207,Lebanon,Fatz,1,3,9,interview,Intelligence,2400,8096,435
111208,Depth,Kamba,3,3,6,cognitive test,Artillery,26500,8097,85
111209,Depth,Thoughtbeat,2,4,7,cognitive test,Military Police,10100,8098,451
111210,Iran,Yombu,2,2,5,knowledge test,Air,30000,8099,238
111211,Depth,Zoomzone,5,4,5,combat fitness,Education,24100,8100,391
111212,Syria,Jaxspan,3,2,5,knowledge test,Military Police,11900,8101,230
111213,Jordan,Fatz,5,1,9,technical test,C4I,23500,8102,280
111214,Gaza,Plajo,4,5,4,cognitive test,Infantry,19200,8103,215
111215,Jordan,Skaboo,2,1,9,technical test,Air,12600,8104,473
111216,Iran,LiveZ,4,4,8,interview,Air,23100,8105,155
111217,Depth,Linkbridge,1,1,4,combat fitness,Air,26500,8106,153
111218,Iran,Quatz,1,4,1,knowledge test,Air,15600,8107,49
111219,Egypt,Quimba,4,2,5,cognitive test,C4I,15800,8108,460
111220,Depth,Eadel,1,1,6,interview,Artillery,11700,8109,443
111221,Jordan,Flashpoint,4,5,5,knowledge test,C4I,13900,8110,222
111222,Iran,Kayveo,3,4,4,knowledge test,Artillery,16600,8111,151
111223,Gaza,Voomm,1,5,5,technical test,Artillery,800,8112,420
111224,Lebanon,Fivechat,1,1,2,combat fitness,C4I,10000,8113,137
111225,Jordan,Dabshots,4,2,6,technical test,Infantry,21500,8114,212
111226,Jordan,Zava,2,2,8,interview,Education,18200,8115,40
111227,Iran,Meembee,2,3,3,knowledge test,Military Police,7900,8116,227
111228,Iran,Pixonyx,1,4,1,combat fitness,Military Police,5400,8117,420
111229,Syria,Geba,3,4,9,combat fitness,Intelligence,21500,8118,228
111230,Egypt,Avavee,5,2,7,combat fitness,Technology and Maintenance,20700,8119,225
111231,Jordan,Thoughtstorm,1,5,1,combat fitness,Medical,17500,8120,222
111232,Jordan,Trupe,5,3,1,knowledge test,Logistics,5900,8121,423
111233,Iran,Photobug,5,4,10,technical test,Technology and Maintenance,14000,8122,352
111234,Iran,Rhynyx,4,2,2,knowledge test,Infantry,5800,8123,119
111235,Egypt,Janyx,2,2,6,interview,Logistics,23900,8124,331
111236,West Bank,Flipstorm,4,4,1,interview,Navy,10000,8125,397
111237,Iran,Ntags,2,1,9,interview,Air,12500,8126,221
111238,Depth,Kayveo,3,3,8,knowledge test,Intelligence,3500,8127,432
111239,Syria,Browsetype,1,2,4,combat fitness,Technology and Maintenance,19700,8128,232
111240,Jordan,Voonyx,1,1,3,interview,Military Police,21700,8129,283
111241,West Bank,Talane,2,2,3,combat fitness,Education,20800,8130,310
111242,West Bank,Meedoo,1,4,5,combat fitness,Technology and Maintenance,22900,8131,128
111243,Depth,Vidoo,5,2,2,interview,Infantry,1000,8132,71
111244,Iran,Feedfire,4,4,6,interview,Military Police,1200,8133,337
111245,Lebanon,Yodoo,3,4,9,combat fitness,Technology and Maintenance,22200,8134,247
111246,Jordan,Thoughtsphere,2,2,8,cognitive test,Education,25200,8135,387
111247,Syria,Voomm,1,5,6,cognitive test,Military Police,17300,8136,456
111248,Depth,Trilith,5,4,9,cognitive test,Air,3100,8137,33
111249,Syria,Zoomzone,1,5,6,interview,Intelligence,22600,8138,413
111250,Syria,Yadel,5,2,9,interview,C4I,27800,8139,166
111251,Depth,Livefish,5,4,9,knowledge test,Technology and Maintenance,14900,8140,450
111252,Gaza,Minyx,1,4,5,combat fitness,Logistics,24800,8141,317
111253,Egypt,Voolia,5,5,1,knowledge test,Artillery,14000,8142,301
111254,Lebanon,Einti,1,5,2,cognitive test,Medical,25900,8143,401
111255,Syria,Demimbu,5,5,6,interview,Infantry,19900,8144,227
111256,Jordan,Riffwire,5,5,3,combat fitness,Air,19400,8145,111
