unit_id,activy_area,unit_name,classification,combat_level,demand,search_type,force,number_of_soldiers,commander_id,base_id
81112,Depth,Zoonoodle,5,4,2,cognitive test,Infantry,11400,2001,20
81113,West Bank,Photobug,3,3,10,interview,Navy,17500,2002,100
81114,Syria,Realcube,2,5,2,cognitive test,Artillery,18900,2003,227
81115,Syria,Topicblab,5,1,4,technical test,Logistics,29700,2004,173
81116,Lebanon,Dabtype,2,4,10,cognitive test,Armored,14200,2005,253
81117,Iran,Demimbu,3,5,5,combat fitness,Artillery,16900,2006,228
81118,Syria,Thoughtsphere,1,3,4,cognitive test,Technology and Maintenance,17000,2007,125
81119,Depth,Gabtune,4,3,4,interview,Medical,22300,2008,497
81120,Egypt,Gigabox,4,5,4,interview,Artillery,21100,2009,461
81121,Lebanon,Viva,2,1,9,combat fitness,C4I,5000,2010,177
81122,Gaza,Buzzdog,4,5,2,combat fitness,Air,21500,2011,200
81123,Depth,Yoveo,4,3,3,combat fitness,Intelligence,19100,2012,339
81124,Depth,Janyx,1,5,6,cognitive test,Artillery,7700,2013,326
81125,Lebanon,BlogXS,1,2,4,combat fitness,Armored,14200,2014,422
81126,Syria,Browsebug,1,2,10,interview,Technology and Maintenance,6500,2015,38
81127,Depth,Rhybox,1,4,2,technical test,Navy,10300,2016,482
81128,Egypt,Mydeo,5,1,10,cognitive test,Technology and Maintenance,24000,2017,298
81129,Lebanon,Zoozzy,2,5,8,cognitive test,Intelligence,26100,2018,498
81130,Depth,Livetube,5,2,6,interview,Intelligence,25400,2019,3
81131,Jordan,Trupe,4,1,1,knowledge test,Navy,2000,2020,451
81132,Egypt,Photospace,1,2,7,combat fitness,Infantry,3000,2021,302
81133,Lebanon,Npath,1,2,2,knowledge test,Armored,23500,2022,102
81134,Jordan,Abata,3,1,4,combat fitness,Air,25700,2023,290
81135,Depth,Ntag,3,4,9,combat fitness,Navy,22600,2024,412
81136,Lebanon,Voolith,5,1,8,interview,Infantry,3300,2025,144
81137,Depth,Rhycero,4,1,8,knowledge test,Air,27400,2026,69
81138,Depth,Ntags,2,5,1,knowledge test,Medical,23700,2027,293
81139,Jordan,Browsecat,4,5,4,knowledge test,Artillery,1100,2028,66
81140,Egypt,Dabjam,1,1,4,knowledge test,Artillery,24600,2029,333
81141,West Bank,Livetube,1,1,8,interview,Medical,4500,2030,313
81142,Lebanon,Eidel,4,5,8,combat fitness,Logistics,12600,2031,38
81143,Gaza,Yamia,3,4,7,knowledge test,Medical,18500,2032,491
81144,Depth,Wordpedia,4,3,9,knowledge test,C4I,25000,2033,138
81145,Iran,Blogspan,4,3,8,interview,Military Police,6600,2034,412
81146,Jordan,Zoomlounge,4,5,4,interview,Logistics,24000,2035,300
